,Title_Review,Stars,Company_name,Recommend,CEO_approval,Business_outlook,Pros,Cons,Employee_seniority,Location,Date,id
3047,"['terrible', 'work', 'environment']",2.0,['amazon'],['neutral'],['neutral'],['neutral'],"['really', 'much', 'besides', 'employer', 'name']","['bad', 'work', 'culture', 'low', 'morale', 'visible', 'path', 'career', 'growth']","['former', 'employee', '1', 'year']","['york', 'ny']","['jan.', '25', '2023']",empReview_72980661
3048,"['good', 'last']",2.0,['amazon'],['neutral'],['neutral'],['neutral'],"['nice', 'pay', 'work', 'hard', 'work', 'talented', 'people']","['may', 'get', 'fire', 'even', 'everything', 'right']","['current', 'employee']","['seattle', 'wa']","['jan.', '25', '2023']",empReview_72981096
3049,"['experience', 'principal', 'tpm', 'role', 'amazon']",5.0,['amazon'],['positive'],['positive'],['positive'],"['best', 'thing', 'learn', 'observe', 'way', 'work', 'consistent', 'make', 'much', 'efficient', 'work', 'across', 'team', 'leadership', 'principle', 'drive', 'super', 'cool', 'best', 'practice', 'like', '2', 'pizza', 'team', 'one', 'way/two', 'way', 'door', 'escalation', 'high', 'velocity', 'decision', 'make', 'productive', 'unlike', 'heard', 'joining', 'work', 'life', 'balance', 'pretty', 'good', 'manager', 'good', 'always', 'aim', 'innovation', 'success', 'team', 'org', 'overall']","['little', 'resource', 'many', 'thing', 'right', 'size', 'help', 'though', 'understand', 'frugality', 'right', 'skilled', 'resource', 'right', 'number', 'help', 'though', 'team', 'team', 'member', 'mostly', 'act', 'individual', 'contributor', 'focus', 'success', 'feel', 'like', 'sometime', 'team', 'play', 'miss', 'hear', 'amazon', 'way', 'culture', 'everyone', 'work', 'towards', 'growth']","['current', 'employee', 'less', '1', 'year']",['nan'],"['jan.', '6', '2023']",empReview_72377598
3050,"['learn', 'ambassador']",4.0,['amazon'],['neutral'],['neutral'],['neutral'],"['lot', 'room', 'advancement', 'work', 'sub-same', 'day', 'warehouse', 'flex', 'driver', 'warehouse', 'side', 'delivery', 'side', 'operation', ""n't"", 'assign', 'specific', 'role', 'like', 'normal', 'station', 'give', 'day', 'could', 'anywhere', 'two', 'task', ""'re"", 'stuck', 'one', 'thing', 'time', 'unless', ""'re"", 'good', 'tend', 'stick', 'time']","[""'s"", 'nothing', 'people', 'usually', 'say', 'amazon', ""'s"", 'uneven', 'distribution', 'work', 'especially', 'vto', 'give', 'people', 'stay', 'leave', 'pick', 'work', 'suppose', 'do', 'people', 'often', 'multiple', 'job', 'time']","['current', 'employee']","['houston', 'tx']","['jan.', '9', '2023']",empReview_72451703
3051,"['good', 'benefit', '...', 'hard', 'labor']",4.0,['amazon'],['positive'],['negative'],['positive'],"['medical', 'dental', 'benefit', 'amaze', 'mental', 'health', 'tool', 'amazon', 'supply']","['work', 'load', 'hard', 'hour', 'long', 'make', 'good', 'benefit']","['current', 'employee', 'less', '1', 'year']",['nan'],"['jan.', '9', '2023']",empReview_72451806
3052,"['area', 'manager']",4.0,['amazon'],['positive'],['positive'],['positive'],"['busy', 'work', 'amazon']","['long', 'hour', 'every', 'week', '4', 'day', 'week']","['current', 'employee', 'less', '1', 'year']","['burlington', 'nj']","['jan.', '9', '2023']",empReview_72452244
3053,"['good', 'steady', 'job']",4.0,['amazon'],['neutral'],['neutral'],['neutral'],"['good', 'pay', 'great', 'benefit', 'plus', 'get', 'stock', 'bonus']","['bore', 'hard', 'work', 'repetition', 'lift', 'burnout', 'east', 'body', 'sore', 'constantly']","['former', 'employee']","['ruskin', 'fl']","['jan.', '9', '2023']",empReview_72453611
3054,"['great', 'place', 'learn']",4.0,['amazon'],['neutral'],['neutral'],['neutral'],"[""'s"", 'great', 'place', 'learn', 'work', 'smart', 'interesting', 'people', 'make', 'good', 'money', 'benefit', 'great']","['experience', 'varies', 'lot', 'depend', 'team/department/business', 'within', 'amazon', 'team', 'amaze', 'horrible', 'culture', 'leadership', 'problem', 'may', 'need', 'transfer', 'around', 'find', 'good', 'fit', ""'s"", 'always', 'easy', 'focus', 'business', 'growth', 'employee', 'experience', 'demoralizing']","['former', 'employee', '3', 'year']","['seattle', 'wa']","['jan.', '9', '2023']",empReview_72453736
3055,"['hard', 'work']",4.0,['amazon'],['positive'],['positive'],['positive'],"['good', 'pay', 'chance', 'work', 'sit', 'globally', 'good', 'management', 'support']","['hour', 'long', 'day', 'long', 'night']","['former', 'employee']","['doncaster', 'england']","['jan.', '9', '2023']",empReview_72454603
3056,['cool'],4.0,['amazon'],['neutral'],['neutral'],['neutral'],"['stress', 'chill', 'work']","['pay', 'schedule', 'lot', 'bias']","['former', 'employee', '1', 'year']",['nan'],"['jan.', '9', '2023']",empReview_72455370
