id,current_employee,Pros_Dominant_Topic,Pros_Topic_Perc_Contrib,Pros_Keywords,Cons_Dominant_Topic,Cons_Topic_Perc_Contrib,Cons_Keywords
empReview_73301743,current employee,0,0.9249,"good, work, great, pay, benefit, time, job, environment, day, salary",0,0.7202,"work, hour, time, long, lot, day, shift, much, sometimes, hard"
empReview_73254217,former employee,0,0.6545,"good, work, great, pay, benefit, time, job, environment, day, salary",1,0.6446,"get, bad, pay, balance, good, culture, life, team, could, company"
empReview_73273853,former employee,1,0.7294,"opportunity, learn, amazon, lot, growth, work, team, company, get, people",0,0.8623,"work, hour, time, long, lot, day, shift, much, sometimes, hard"
empReview_73277068,current employee,0,0.7863,"good, work, great, pay, benefit, time, job, environment, day, salary",1,0.6578,"get, bad, pay, balance, good, culture, life, team, could, company"
empReview_73271646,former employee,1,0.5959,"opportunity, learn, amazon, lot, growth, work, team, company, get, people",2,0.5467,"n't, con, job, manager, amazon, employee, like, make, people, many"
empReview_73281374,current employee,1,0.5659,"opportunity, learn, amazon, lot, growth, work, team, company, get, people",1,0.4856,"get, bad, pay, balance, good, culture, life, team, could, company"
empReview_73218068,current employee,0,0.8598,"good, work, great, pay, benefit, time, job, environment, day, salary",0,0.4954,"work, hour, time, long, lot, day, shift, much, sometimes, hard"
empReview_73027410,former employee,1,0.5783,"opportunity, learn, amazon, lot, growth, work, team, company, get, people",0,0.8691,"work, hour, time, long, lot, day, shift, much, sometimes, hard"
empReview_73040763,former employee,0,0.5854,"good, work, great, pay, benefit, time, job, environment, day, salary",1,0.3876,"get, bad, pay, balance, good, culture, life, team, could, company"
empReview_73029576,current employee,1,0.6708,"opportunity, learn, amazon, lot, growth, work, team, company, get, people",2,0.6246,"n't, con, job, manager, amazon, employee, like, make, people, many"
empReview_73039952,current employee,0,0.9201,"good, work, great, pay, benefit, time, job, environment, day, salary",0,0.8623,"work, hour, time, long, lot, day, shift, much, sometimes, hard"
empReview_73053503,former employee,0,0.6788,"good, work, great, pay, benefit, time, job, environment, day, salary",2,0.6497,"n't, con, job, manager, amazon, employee, like, make, people, many"
empReview_73055466,current employee,1,0.8423,"opportunity, learn, amazon, lot, growth, work, team, company, get, people",0,0.8609,"work, hour, time, long, lot, day, shift, much, sometimes, hard"
